161.253.160.0/24,    UPD DVR
161.253.161.0/26,    DIT - voice-CTRL-a
161.253.161.64/26,   DIT - voice-SIP-internal
161.253.161.128/25,  DIT - voice-bearer_resources
161.253.162.0/26,    DIT - voice-CTLR-b
161.253.162.64/26,   DIT - voice-SIP-SBC
161.253.162.128/25,  DIT - voice-CLANs
161.253.167.0/24,    DIT - Cameras
161.253.168.0/24,    DIT - LCDC Novell Cluster
161.253.172.0/23,    UMUC
161.253.175.0/25,    unused
161.253.175.128/25,  DIT - voice-Research2
161.253.176.0/24,    Research2 1st Floor
161.253.177.0/24,    Research2 2nd Floor
161.253.178.0/24,    Research2 3rd Floor
161.253.179.0/27,    DIT - Research2 Admin Network
161.253.180.0/22,    DIT - VPN Network
161.253.184.0/22,    DIT - Ashburn SSL VPN
161.253.191.240/28,  DIT - loopbacks
239.164.11.44,     MCAST  mheily - Vignette Prod VAP Cluster
239.164.11.46,     MCAST  mheily - Vignette Prod VCM Cluster
239.164.11.55,     MCAST  mheily - Vignette Test VAP Cluster
239.164.11.56,     MCAST  mheily - Vignette Test VCM Cluster
239.164.11.185,     MCAST  shehzada - vcm2.stage.uwp.gwu.edu
239.253.150.30,     MCAST  VAP Preview
239.253.150.93,     MCAST  mheily - Vignette Test PREVIEW Cluster
239.253.150.211,     MCAST  shehzada - vap1.stage.uwp.gwu.edu
239.253.150.212,     MCAST  shehzada - vcm1.stage.uwp.gwu.edu
239.164.187.0/24,    MCAST  syoung - CATV Head End multicast sources
128.164.255.10,     LOOPBACK - multiple (anycast RP)
128.164.255.172,     LOOPBACK - CAT6K-CORE-1
128.164.255.173,     LOOPBACK - CAT6K-CORE-2
128.164.255.176,     LOOPBACK - patti-7200
128.164.255.177,     LOOPBACK - selma-7200
128.164.255.178,     LOOPBACK - acad-7609
128.164.255.179,     LOOPBACK - MX240-SUPP
128.164.255.181,     LOOPBACK - 1776G-3825
128.164.255.182,     LOOPBACK - CAT4K-2121K-1
128.164.255.183,     LOOPBACK - CAT4K-2033K-2nd
128.164.255.184,     LOOPBACK - CAT6K-ASTON-1
128.164.255.185,     LOOPBACK - CAT4K-2175K-1
128.164.255.186,     LOOPBACK - CAT4K-2100M-1
128.164.255.187,     LOOPBACK - CAT3560-MVC-IPCS-1
128.164.255.188,     LOOPBACK - CAT3560-MVC-IPCS-2
128.164.255.189,     LOOPBACK - CAT3K-ADAMS-Paetec
128.164.255.190,     LOOPBACK - CAT3K-HOSP-Paetec
128.164.255.191,     LOOPBACK - CAT3K-2011I-Paetec
128.164.255.193,     LOOPBACK - CAT3K-2020K-Paetec
128.164.255.194,     LOOPBACK - 2029K-4th-1800
128.164.255.195,     LOOPBACK - CAT4K-CityHall-1
128.164.255.196,     LOOPBACK - 1919Penn-MZ-1800
128.164.255.197,     LOOPBACK - CAT2K-1919Penn-data
161.253.191.241,     LOOPBACK - CAT3K-Research2-1W
161.253.191.242,     LOOPBACK - CAT3K-Research2-1E
161.253.191.250,     LOOPBACK - MX240-NVA
161.253.191.253,     LOOPBACK - nva-7609-1
161.253.191.254,     LOOPBACK - nva-7609-2
