"Device Name","IP Addresses","Status","OS Info","Version","Agent Install Date","Last Contact Date","Queued Deployments"
"\\GLSS-REF105","128.164.215.93","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/31/2010 11:03:42 AM (Local)","9/7/2010 2:56:08 PM (Local)","0"
"\\GL00B01021","128.164.62.142","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 4:07:32 AM (Local)","9/10/2010 10:16:06 AM (Local)","0"
"\\STORG-FPBR6G1","128.164.196.250","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:17:15 PM (Local)","9/10/2010 8:22:51 AM (Local)","0"
"\\MLB-AML-H101","128.164.87.175","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:35:56 PM (Local)","8/18/2010 2:55:47 PM (Local)","4"
"\\PHM-JZG-R635","128.164.35.155","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/14/2010 11:10:47 AM (Local)","9/7/2010 8:27:19 AM (Local)","1"
"\\EVPAEC-C27WKK1","184.58.159.35","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/15/2010 2:14:40 PM (Local)","9/10/2010 2:49:32 AM (Local)","0"
"\\GLSS-ECIRCDESK1","128.164.181.80","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:16:27 PM (Local)","9/10/2010 7:38:47 AM (Local)","0"
"\\STATION3-H6218","172.17.1.83","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:58:38 PM (Local)","8/20/2010 10:59:37 AM (Local)","0"
"\\SASSATH-4XKYYJ1","10.0.1.7","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","6/1/2010 2:24:00 PM (Local)","9/9/2010 9:00:22 AM (Local)","0"
"\\GWSBACC-7V8D2D1","128.164.227.237","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","6/9/2010 3:55:01 PM (Local)","9/10/2010 9:47:06 AM (Local)","0"
"\\GLSM-SMITH","128.164.215.88","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 4:37:56 PM (Local)","9/10/2010 9:15:14 AM (Local)","0"
"BELLEROPHON","192.168.1.200","Idle","Apple Mac OS X 10.6.4","6.4283","4/13/2010 9:28:48 AM (Local)","9/10/2010 9:26:32 AM (Local)","0"
"\\CCAADM-CJS4B71","172.16.2.68","Offline","Microsoft Windows XP Professional-SERVICE PACK 3","6.2.3.181","7/26/2010 6:29:32 PM (Local)","7/29/2010 1:30:29 PM (Local)","0"
